index,family,kind,n,m,delta,siriaisa_size,optimum,ratio,expected_constant,within_bound,siriaisa_ms,milp_ms
5229,complete_bipartite,rigid,9,8,8,1,1,1.0000,1.0000,1,1.089,0.945
5230,crown,rigid,8,12,3,2,2,1.0000,1.0000,1,1.013,10.756
5231,double_star,rigid,16,15,13,3,3,1.0000,1.0000,1,2.076,1.256
5232,erdos_renyi,random,24,99,13,4,4,1.0000,13.0000,1,5.622,8.785
5233,barabasi_albert,random,25,46,9,7,7,1.0000,9.0000,1,3.767,11.536
5234,random_tree,random,14,13,4,4,4,1.0000,4.0000,1,1.997,1.835
5235,path,bounded,7,6,2,3,3,1.0000,2.0000,1,1.243,1.004
5236,cycle,bounded,29,29,2,10,10,1.0000,2.0000,1,3.468,13.611
5237,ladder,bounded,8,10,3,3,3,1.0000,3.0000,1,1.392,10.362
5238,grid,bounded,12,17,4,4,4,1.0000,4.0000,1,1.973,10.505
5239,regular,bounded,12,18,3,3,3,1.0000,3.0000,1,1.854,10.572
5240,balanced_tree,bounded,13,12,4,3,3,1.0000,4.0000,1,1.938,1.075
5241,lollipop,bounded,6,8,4,2,2,1.0000,4.0000,1,1.326,1.036
5242,clique,rigid,14,91,13,1,1,1.0000,1.0000,1,2.458,1.491
5243,star,rigid,9,8,8,1,1,1.0000,1.0000,1,1.061,0.953
5244,complete_bipartite,rigid,7,10,5,2,2,1.0000,1.0000,1,1.018,1.019
5245,crown,rigid,12,30,5,2,2,1.0000,1.0000,1,1.545,9.009
5246,double_star,rigid,16,15,13,3,3,1.0000,1.0000,1,2.049,1.040
5247,erdos_renyi,random,14,18,4,5,5,1.0000,4.0000,1,2.257,11.261
5248,barabasi_albert,random,14,13,8,5,5,1.0000,8.0000,1,1.872,1.167
5249,random_tree,random,38,37,6,16,16,1.0000,6.0000,1,4.980,1.830
5250,path,bounded,27,26,2,9,9,1.0000,2.0000,1,3.403,11.271
5251,cycle,bounded,10,10,2,4,4,1.0000,2.0000,1,1.478,11.541
5252,ladder,bounded,26,37,3,7,7,1.0000,3.0000,1,4.177,10.930
5253,grid,bounded,6,7,3,2,2,1.0000,4.0000,1,1.171,10.800
5254,regular,bounded,7,14,4,2,2,1.0000,4.0000,1,1.091,9.357
5255,balanced_tree,bounded,13,12,4,3,3,1.0000,4.0000,1,1.755,1.061
5256,lollipop,bounded,8,17,6,2,2,1.0000,6.0000,1,1.397,1.070
5257,clique,rigid,10,45,9,1,1,1.0000,1.0000,1,1.598,1.224
5258,star,rigid,24,23,23,1,1,1.0000,1.0000,1,3.135,1.206
5259,complete_bipartite,rigid,13,30,10,3,3,1.0000,1.0000,1,1.729,1.243
5260,crown,rigid,4,2,1,2,2,1.0000,1.0000,1,0.878,0.895
5261,double_star,rigid,16,15,10,6,6,1.0000,1.0000,1,2.031,1.065
5262,erdos_renyi,random,18,19,4,7,7,1.0000,4.0000,1,3.149,11.078
5263,barabasi_albert,random,26,25,7,10,10,1.0000,7.0000,1,3.296,1.820
5264,random_tree,random,4,3,2,2,2,1.0000,2.0000,1,0.933,0.962
5265,path,bounded,7,6,2,3,3,1.0000,2.0000,1,1.164,0.990
5266,cycle,bounded,35,35,2,12,12,1.0000,2.0000,1,4.552,14.867
5267,ladder,bounded,26,37,3,7,7,1.0000,3.0000,1,3.968,11.122
5268,grid,bounded,12,16,3,4,4,1.0000,4.0000,1,1.969,10.852
5269,regular,bounded,24,60,5,5,5,1.0000,5.0000,1,3.784,18.808
5270,balanced_tree,bounded,15,14,3,5,5,1.0000,3.0000,1,1.990,13.791
5271,lollipop,bounded,13,33,8,3,3,1.0000,8.0000,1,2.368,18.372
5272,clique,rigid,1,0,0,1,1,1.0000,1.0000,1,0.350,0.961
5273,star,rigid,14,13,13,1,1,1.0000,1.0000,1,1.524,1.037
5274,complete_bipartite,rigid,11,28,7,4,4,1.0000,1.0000,1,1.577,1.205
5275,crown,rigid,12,30,5,2,2,1.0000,1.0000,1,1.547,9.182
5276,double_star,rigid,15,14,11,4,4,1.0000,1.0000,1,2.021,1.146
5277,erdos_renyi,random,28,86,12,6,6,1.0000,12.0000,1,6.173,11.695
5278,barabasi_albert,random,22,40,12,6,6,1.0000,12.0000,1,3.743,9.884
5279,random_tree,random,30,29,4,13,13,1.0000,4.0000,1,4.061,1.397
5280,path,bounded,34,33,2,12,12,1.0000,2.0000,1,4.382,11.941
5281,cycle,bounded,40,40,2,14,14,1.0000,2.0000,1,4.584,13.761
5282,ladder,bounded,34,49,3,9,9,1.0000,3.0000,1,5.108,11.990
5283,grid,bounded,18,27,4,6,6,1.0000,4.0000,1,2.957,19.072
5284,regular,bounded,15,30,4,4,4,1.0000,4.0000,1,2.528,11.519
5285,balanced_tree,bounded,15,14,3,5,5,1.0000,3.0000,1,1.978,13.386
5286,lollipop,bounded,7,9,4,2,2,1.0000,4.0000,1,1.281,1.061
5287,clique,rigid,8,28,7,1,1,1.0000,1.0000,1,1.269,1.101
5288,star,rigid,4,3,3,1,1,1.0000,1.0000,1,0.707,0.902
5289,complete_bipartite,rigid,24,144,12,12,12,1.0000,1.0000,1,4.493,2.549
5290,crown,rigid,12,30,5,2,2,1.0000,1.0000,1,1.532,9.091
5291,double_star,rigid,20,19,12,8,8,1.0000,1.0000,1,2.439,1.126
5292,erdos_renyi,random,31,153,18,4,4,1.0000,18.0000,1,8.709,10.684
5293,barabasi_albert,random,23,22,8,8,8,1.0000,8.0000,1,2.965,1.141
5294,random_tree,random,38,37,6,12,12,1.0000,6.0000,1,4.822,11.986
5295,path,bounded,33,32,2,11,11,1.0000,2.0000,1,3.967,10.745
5296,cycle,bounded,23,23,2,8,8,1.0000,2.0000,1,2.900,13.331
5297,ladder,bounded,36,52,3,10,10,1.0000,3.0000,1,5.211,25.313
5298,grid,bounded,30,49,4,8,8,1.0000,4.0000,1,5.055,33.579
5299,regular,bounded,14,14,2,6,6,1.0000,2.0000,1,2.339,11.814
5300,balanced_tree,bounded,13,12,4,3,3,1.0000,4.0000,1,1.797,1.108
5301,lollipop,bounded,11,11,3,4,4,1.0000,3.0000,1,1.618,11.772
5302,clique,rigid,11,55,10,1,1,1.0000,1.0000,1,1.804,1.265
5303,star,rigid,28,27,27,1,1,1.0000,1.0000,1,3.384,1.518
